ada,contract_id,decision_type,amount,issue_date
ΨΥ9ΜΟΡΥΑ-ΤΘΝ,contract:a70c9fb56888,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8021.98,1577923200000
6ΦΜΡΟΡΥΑ-ΑΡΛ,contract:a70c9fb56888,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8000.0,1578873600000
6ΧΥΑΟΡΥΑ-5ΚΒ,contract:a70c9fb56888,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8000.0,1579219200000
9ΟΓΡΟΡΥΑ-ΙΟΧ,contract:a70c9fb56888,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8000.0,1579219200000
ΩΧΣΗΟΡΥΑ-ΤΗΕ,contract:a70c9fb56888,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8000.0,1579219200000
990ΓΟΡΥΑ-3Ε7,contract:a70c9fb56888,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8082.46,1580083200000
ΨΩΒΟΟΡΥΑ-Ξ7Γ,contract:a70c9fb56888,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8000.0,1580256000000
6ΑΔΚΟΡΥΑ-ΨΣΠ,contract:a70c9fb56888,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8000.0,1590451200000
6ΘΟ3ΟΡΥΑ-ΒΙΡ,contract:a70c9fb56888,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8000.0,1591833600000
ΩΧΠΗΟΡΥΑ-ΚΔ6,contract:6e8d9b56f6ee,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,160000.0,1577923200000
6ΑΤΥΟΡΥΑ-ΤΓΠ,contract:1c13a195859f,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,2200000.0,1578009600000
6Ζ8ΟΟΡΥΑ-Κ6Ν,contract:bc0095df62fa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,9000.0,1578009600000
6ΧΣ3ΟΡΥΑ-ΜΙ7,contract:bc0095df62fa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,9000.0,1578441600000
ΨΝΖ1ΟΡΥΑ-ΒΜΑ,contract:bc0095df62fa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,9039.6,1585785600000
Ω299ΟΡΥΑ-Β5Κ,contract:bc0095df62fa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,9000.0,1591833600000
ΩΙΖΔΟΡΥΑ-5ΛΜ,contract:bc0095df62fa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,9040.0,1600732800000
ΨΘΠΞΟΡΥΑ-7Χ4,contract:bc0095df62fa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,9000.0,1609718400000
ΨΔΟΨΟΡΥΑ-Ξ7Ο,contract:bc0095df62fa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8930.0,1623196800000
6ΠΑΗΟΡΥΑ-ΞΩΚ,contract:3b0192ebd994,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,20845.0,1578009600000
ΩΑΤ1ΟΡΥΑ-Ω3Λ,contract:3b0192ebd994,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,20688.8,1579478400000
9ΡΞΑΟΡΥΑ-ΠΥ2,contract:0bb84fd92bb9,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,1300000.0,1578009600000
Ω9Μ8ΟΡΥΑ-Α9Ρ,contract:0bb84fd92bb9,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,1280104.0,1579564800000
ΨΨΑΙΟΡΥΑ-9Θ5,contract:0bb84fd92bb9,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,1280000.0,1581379200000
Ψ4ΝΠΟΡΥΑ-Α9Β,contract:b2a276e1f336,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,44280.0,1578009600000
ΨΘ1ΗΟΡΥΑ-ΨΣ6,contract:b2a276e1f336,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,45000.0,1579046400000
Ψ5Γ3ΟΡΥΑ-Ε1Θ,contract:03f495382ee9,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,35700.0,1578009600000
6ΕΨΕΟΡΥΑ-Ρ5Ν,contract:03f495382ee9,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,34978.0,1579651200000
6Δ1ΘΟΡΥΑ-ΚΝΚ,contract:03f495382ee9,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,35000.0,1580688000000
Ψ8ΟΥΟΡΥΑ-ΔΥΖ,contract:e5428fa38159,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,25000.0,1578009600000
ΨΜΥΠΟΡΥΑ-024,contract:e5428fa38159,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,25365.0,1578614400000
ΨΠΥΟΟΡΥΑ-ΙΣΠ,contract:e5428fa38159,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,25000.0,1580688000000
ΨΔΞΔΟΡΥΑ-ΦΦ7,contract:66fa72b93446,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,72520.0,1578009600000
ΨΕΞ2ΟΡΥΑ-2ΟΜ,contract:5c4be14f4b67,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,21500.0,1578009600000
ΨΜΛ5ΟΡΥΑ-ΩΘΠ,contract:4178ab37b536,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,13300.0,1578009600000
ΨΜΛΧΟΡΥΑ-ΞΗ5,contract:55f4da20aa26,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,5200.0,1578009600000
Ω5Λ7ΟΡΥΑ-ΓΑ8,contract:9368294e65aa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,2232.0,1578009600000
6ΠΑ1ΟΡΥΑ-ΠΚΨ,contract:9368294e65aa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,2200.0,1579046400000
9Κ6ΞΟΡΥΑ-4ΧΖ,contract:9368294e65aa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,2180.08,1582156800000
9ΚΗ9ΟΡΥΑ-4ΗΗ,contract:9368294e65aa,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,2200.0,1591056000000
665ΛΟΡΥΑ-2Ρ8,contract:f04f1cd87402,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,80000.0,1578355200000
66Ω4ΟΡΥΑ-Θ0Π,contract:8f2381755935,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,31800.0,1578355200000
ΩΓΑΑΟΡΥΑ-9ΔΖ,contract:8f2381755935,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,32000.0,1589414400000
619ΞΟΡΥΑ-ΡΘ2,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1578441600000
6ΓΕ1ΟΡΥΑ-ΛΤ1,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1578441600000
ΩΡ33ΟΡΥΑ-Ν4Ω,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1579132800000
ΨΤΝΡΟΡΥΑ-ΑΟ3,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1579737600000
ΨΩΚΕΟΡΥΑ-ΨΦΚ,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1579824000000
ΩΥ2ΣΟΡΥΑ-ΔΘΔ,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1581638400000
6Ε37ΟΡΥΑ-ΕΔΛ,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1582156800000
Ψ7ΑΖΟΡΥΑ-ΛΑΨ,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1583452800000
Ω0ΜΝΟΡΥΑ-Ω9Τ,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1583452800000
ΩΚ98ΟΡΥΑ-ΥΒΤ,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10115.0,1594339200000
ΩΒΑΣΟΡΥΑ-Λ8Ο,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1595203200000
ΩΧΔ8ΟΡΥΑ-9ΞΙ,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1599523200000
6Ο51ΟΡΥΑ-0ΩΛ,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1609804800000
9Η8ΜΟΡΥΑ-ΚΗΚ,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1609977600000
ΩΛΝΙΟΡΥΑ-ΞΒΤ,contract:d1dbad392a57,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,10000.0,1609977600000
