org,year,month,procurement_stage,ada,issue_date,decision_type,subject,url,amount,amount_source,supplier_name,supplier_tax_id,signer,unit
50621,2020,1,other,ΨΕΡ8ΟΡΣΜ-Ν8Ρ,1578355200000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Απόφαση 2/2020 Προέδρου για εκτέλεση εργασιών προμήθειας υπηρεσιών και ανάληψης δαπάνης,https://diavgeia.gov.gr/doc/ΨΕΡ8ΟΡΣΜ-Ν8Ρ,,,,,100051417,79423
50621,2020,1,other,6ΓΡ2ΟΡΣΜ-Θ6Η,1578441600000,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,Απόφαση Ανάληψης Υποχρέωσης ορθή για προμήθεια γεωδαιτικού σταθμού και gps,https://diavgeia.gov.gr/doc/6ΓΡ2ΟΡΣΜ-Θ6Η,,,,,110096,79421
50621,2020,1,other,ΩΙ7ΑΟΡΣΜ-3Β3,1578441600000,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/ΩΙ7ΑΟΡΣΜ-3Β3,,,,,110096,79421
50621,2020,1,other,ΩΞΘΤΟΡΣΜ-5ΕΩ,1578441600000,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,Απόφαση Ανάληψης Υποχρέωσης,https://diavgeia.gov.gr/doc/ΩΞΘΤΟΡΣΜ-5ΕΩ,,,,,110096,79421
50621,2020,1,approval,ΩΣ6ΨΟΡΣΜ-35Η,1578441600000,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,Απόφαση ανάληψης υποχρέωσης για έγκριση της 21/2019 μελέτης,https://diavgeia.gov.gr/doc/ΩΣ6ΨΟΡΣΜ-35Η,,,,,110096,79421
50621,2020,1,other,6Η9ΖΟΡΣΜ-Ε4Δ,1578528000000,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,Απόφαση ανάληψης υποχρέωσης για προμήθεια συστήματος προτεραιότητας,https://diavgeia.gov.gr/doc/6Η9ΖΟΡΣΜ-Ε4Δ,,,,,110096,79421
50621,2020,1,approval,ΨΕ94ΟΡΣΜ-00Κ,1578528000000,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,Απόφαση ανάληψης υποχρέωσης για έγκριση 22/2019 μελέτης,https://diavgeia.gov.gr/doc/ΨΕ94ΟΡΣΜ-00Κ,,,,,110096,79421
50621,2020,1,other,ΩΙΥΗΟΡΣΜ-Π4Φ,1578528000000,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,Απόφαση ανάληψης υποχρέωσης για προμήθεια λαστιχένιων αγωγών (ορθή επανάληψη),https://diavgeia.gov.gr/doc/ΩΙΥΗΟΡΣΜ-Π4Φ,,,,,110096,79421
50621,2020,1,other,Ψ7ΙΗΟΡΣΜ-19Ε,1578614400000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Απόφαση 4/2020 Προέδρου για εκτέλεση εργασιών προμήθειας υπηρεσιών και ανάληψης δαπάνης,https://diavgeia.gov.gr/doc/Ψ7ΙΗΟΡΣΜ-19Ε,,,,,100051417,79423
50621,2020,1,other,Ω7Ζ6ΟΡΣΜ-ΣΤΟ,1578614400000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Απόφαση 5/2020 Προέδρου για εκτέλεση εργασιών προμήθειας υπηρεσιών και ανάληψης δαπάνης,https://diavgeia.gov.gr/doc/Ω7Ζ6ΟΡΣΜ-ΣΤΟ,,,,,100051417,79423
50621,2020,1,other,ΨΩΡΜΟΡΣΜ-ΦΝΕ,1579478400000,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,Απόφαση 7/2020 Προέδρου για εκτέλεση εργασιών προμήθειας υπηρεσιών και ανάληψης δαπάνης,https://diavgeia.gov.gr/doc/ΨΩΡΜΟΡΣΜ-ΦΝΕ,,,,,100051417,79423
50621,2020,1,other,64ΖΨΟΡΣΜ-52Μ,1579737600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Απόφαση 35/2019 ΔΣ ΔΕΥΑΣ με θέμα: Σύμβαση ανάθεσης υπηρεσιών υπευθύνου τύπου για χρονικό διάστημα ενός (1) έτους.,https://diavgeia.gov.gr/doc/64ΖΨΟΡΣΜ-52Μ,,,,,100051417,79423
50621,2020,1,other,661ΑΟΡΣΜ-ΦΤ4,1579737600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Απόφαση 14/2020 ΔΣ ΔΕΥΑΣ με θέμα: Προμήθεια συστήματος προτεραιότητας και μηχανής καταμέτρησης χαρτονομισμάτων,https://diavgeia.gov.gr/doc/661ΑΟΡΣΜ-ΦΤ4,,,,,100051417,79423
50621,2020,1,approval,6Ι3ΞΟΡΣΜ-Π3Σ,1579737600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Απόφαση 37/2020 ΔΣ ΔΕΥΑΣ με θέμα:Έγκριση παράτασης σύμβασης προμήθειας υγρών καυσίμων έτους 2018,https://diavgeia.gov.gr/doc/6Ι3ΞΟΡΣΜ-Π3Σ,,,,,100051417,79423
50621,2020,1,other,6Μ7ΨΟΡΣΜ-ΒΚΚ,1579737600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Απόφαση 29/2020 ΔΣ ΔΕΥΑΣ με θέμα: Προμήθεια λαστιχένιων αγωγών υψηλής πιέσεως για χρήση στα αποφρακτικά οχήματα της ΔΕΥΑΣ.,https://diavgeia.gov.gr/doc/6Μ7ΨΟΡΣΜ-ΒΚΚ,,,,,100051417,79423
50621,2020,1,other,6ΝΝΧΟΡΣΜ-Μ77,1579737600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Απόφαση 36/2020 ΔΣ ΔΕΥΑΣ με θέμα: Ανάθεση μελέτης αποχέτευσης για το υποέργο με τίτλο “Οριστική μελέτη αποχέτευσης δικτύων με την μέθοδο του κενού ΤΚ Κάτω Καμήλας” που είναι ενταγμένο στο πρόγραμμα «Φιλόδημος Ι»,https://diavgeia.gov.gr/doc/6ΝΝΧΟΡΣΜ-Μ77,,,,,100051417,79423
50621,2020,1,other,6ΠΝΦΟΡΣΜ-ΚΥΒ,1579737600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Απόφαση 18/2020 ΔΣ ΔΕΥΑΣ με θέμα: Π΄ροσληψη εξωτερικού συνεργάτη με ειδικότητα ΠΕ Οικονομολόγου,https://diavgeia.gov.gr/doc/6ΠΝΦΟΡΣΜ-ΚΥΒ,,,,,100051417,79423
