procurement_key,org,year,month,ada,issue_date,decision_type,subject,amount,amount_source,supplier_key,supplier_name,supplier_tax_id,signer,unit,url
proc:64561949b153,6179,2020,1,62ΧΥΩΛ2-8ΥΖ,1578009600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Ανάθεση δημοσίευσης περίληψης διακήρυξης προμήθειας: «ΠΡΟΜΗΘΕΙΑ ΑΝΑΛΩΣΙΜΩΝ ΥΛΙΚΩΝ ΥΔΡΕΥΣΗΣ ΚΑΙ ΥΛΙΚΩΝ ΑΡΔΕΥΣΗΣ ΔΗΜΟΥ ΜΑΚΡΑΚΩΜΗΣ» για τα είδη της ΟΜΑΔΑΣ Β: ΕΞΑΡΤΗΜΑΤΑ & ΔΙΑΦΟΡΑ ΥΛΙΚΑ ΥΔΡΕΥΣΗΣ,496.0,detail:extraFieldValues.awardAmount.amount,tax:094182000,,094182000,100048595,92973,https://diavgeia.gov.gr/doc/62ΧΥΩΛ2-8ΥΖ
proc:3df872b4d5ed,6179,2020,1,9Υ1ΧΩΛ2-0ΞΕ,1578009600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Ανάθεση δημοσίευσης περίληψης διακήρυξης προμήθειας: «ΠΡΟΜΗΘΕΙΑ ΚΑΥΣΙΜΩΝ ΚΑΙ ΛΙΠΑΝΤΙΚΩΝ»,644.8,detail:extraFieldValues.awardAmount.amount,tax:094182000,,094182000,100048595,92973,https://diavgeia.gov.gr/doc/9Υ1ΧΩΛ2-0ΞΕ
proc:b1141e60585f,6179,2020,1,Ψ5Σ8ΩΛ2-0Υ7,1578009600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,"Ανάθεση δημοσίευσης περίληψης διακήρυξης προμήθειας: «ΠΡΟΜΗΘΕΙΑ ΟΧΗΜΑΤΩΝ, ΜΗΧΑΝΗΜΑΤΩΝ ΕΡΓΟΥ ΚΑΙ ΣΥΝΟΔΕΥΤΙΚΟΥ ΕΞΟΠΛΙΣΜΟΥ ΤΟΥ ΔΗΜΟΥ ΜΑΚΡΑΚΩΜΗΣ»",359.6,detail:extraFieldValues.awardAmount.amount,tax:094275277,,094275277,100048595,92973,https://diavgeia.gov.gr/doc/Ψ5Σ8ΩΛ2-0Υ7
proc:733811062578,6179,2020,1,Ψ8ΒΕΩΛ2-Υ2Σ,1578009600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,"Ανάθεση δημοσίευσης περίληψης διακήρυξης προμήθειας: «ΠΡΟΜΗΘΕΙΑ ΟΧΗΜΑΤΩΝ, ΜΗΧΑΝΗΜΑΤΩΝ ΕΡΓΟΥ ΚΑΙ ΣΥΝΟΔΕΥΤΙΚΟΥ ΕΞΟΠΛΙΣΜΟΥ ΤΟΥ ΔΗΜΟΥ ΜΑΚΡΑΚΩΜΗΣ»",675.8,detail:extraFieldValues.awardAmount.amount,tax:094182000,,094182000,100048595,92973,https://diavgeia.gov.gr/doc/Ψ8ΒΕΩΛ2-Υ2Σ
proc:d480a97952aa,6179,2020,1,ΩΑ8ΦΩΛ2-ΜΨΛ,1578009600000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Ανάθεση δημοσίευσης περίληψης διακήρυξης προμήθειας: «ΠΡΟΜΗΘΕΙΑ ΚΑΥΣΙΜΩΝ ΚΑΙ ΛΙΠΑΝΤΙΚΩΝ»,334.8,detail:extraFieldValues.awardAmount.amount,tax:094275277,,094275277,100048595,92973,https://diavgeia.gov.gr/doc/ΩΑ8ΦΩΛ2-ΜΨΛ
proc:b24debdfd305,6179,2020,1,6Κ1ΔΩΛ2-ΕΜΤ,1580342400000,ΚΑΤΑΚΥΡΩΣΗ,"ΠΡΟΜΗΘΕΙΑ ΑΝΑΛΩΣΙΜΩΝ ΥΛΙΚΩΝ ΥΔΡΕΥΣΗΣ ΚΑΙ ΥΛΙΚΩΝ ΑΡΔΕΥΣΗΣ ΔΗΜΟΥ ΜΑΚΡΑΚΩΜΗΣ - ΟΜΑΔΕΣ Α, Γ, Δ",75723.8736,detail:extraFieldValues.awardAmount.amount,tax:099730925,,099730925,100057027,86528,https://diavgeia.gov.gr/doc/6Κ1ΔΩΛ2-ΕΜΤ
proc:d9b14caf4dd4,6179,2020,1,ΨΦΨ9ΩΛ2-8ΨΓ,1580342400000,ΚΑΤΑΚΥΡΩΣΗ,"ΕΓΚΡΙΣΗ 3ου ΠΡΑΚΤΙΚΟΥ ΔΙΕΝΕΡΓΕΙΑΣ ΤΟΥ ΔΙΑΓΩΝΙΣΜΟΥ: ""ΠΡΟΜΗΘΕΙΑ ΗΛΕΚΤΡΟΛΟΓΙΚΟΥ ΥΛΙΚΟΥ ΚΑΙ ΛΑΜΠΤΗΡΩΝ ΔΗΜΟΥ ΜΑΚΡΑΚΩΜΗΣ""",97988.47,detail:extraFieldValues.awardAmount.amount,tax:095042178,,095042178,100057027,86528,https://diavgeia.gov.gr/doc/ΨΦΨ9ΩΛ2-8ΨΓ
proc:9f013cab9c8e,6179,2020,1,ΩΨΨ0ΩΛ2-7ΘΠ,1580428800000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,"ΣΥΜΒΑΣΗ ΤΜΗΜΑΤΟΣ ΤΗΣ ΠΡΟΜΗΘΕΙΑΣ: ""ΠΡΟΜΗΘΕΙΑ ΚΑΥΣΙΜΩΝ ΚΑΙ ΛΙΠΑΝΤΙΚΩΝ» ΠΡΟΜΗΘΕΙΑ ΠΕΤΡΕΛΑΙΟΥ ΘΕΡΜΑΝΣΗΣ ΔΗΜΟΥ ΜΑΚΡΑΚΩΜΗΣ",11648.56,detail:extraFieldValues.awardAmount.amount,tax:072581442,,072581442,100048595,92973,https://diavgeia.gov.gr/doc/ΩΨΨ0ΩΛ2-7ΘΠ
proc:8e2e2f171274,6179,2020,1,640ΓΩΛ2-Γ4Φ,2020-01-02,ΠΕΡΙΛΗΨΗ ΔΙΑΚΗΡΥΞΗΣ,ΠΕΡΙΛΗΨΗ ΔΙΑΚΗΡΥΞΗΣ ΗΛΕΚΤΡΟΝΙΚΟΥ ΑΝΟΙΚΤΟΥ ΕΠΑΝΑΛΗΠΤΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ ΠΡΟΜΗΘΕΙΑΣ: «ΠΡΟΜΗΘΕΙΑ ΑΝΑΛΩΣΙΜΩΝ ΥΛΙΚΩΝ ΥΔΡΕΥΣΗΣ ΚΑΙ ΥΛΙΚΩΝ ΑΡΔΕΥΣΗΣ ΔΗΜΟΥ ΜΑΚΡΑΚΩΜΗΣ» για τα είδη της ΟΜΑΔΑΣ Β: ΕΞΑΡΤΗΜΑΤΑ & ΔΙΑΦΟΡΑ ΥΛΙΚΑ ΥΔΡΕΥΣΗΣ,,,,,,,,https://diavgeia.gov.gr/doc/640ΓΩΛ2-Γ4Φ
proc:ee4514c863cc,6179,2020,1,6ΔΠ4ΩΛ2-Τ49,2020-01-02,ΠΕΡΙΛΗΨΗ ΔΙΑΚΗΡΥΞΗΣ,ΠΡΟΜΗΘΕΙΑ ΚΑΥΣΙΜΩΝ ΚΑΙ ΛΙΠΑΝΤΙΚΩΝ,,,,,,,,https://diavgeia.gov.gr/doc/6ΔΠ4ΩΛ2-Τ49
