contract_id,amount,issue_date,ada,decision_type,subject,supplier_key,supplier_tax_id,supplier_name_raw,stage_count,stages_seen,all_adas
contract:6fa9433715b1,3054589.2,2020-06-12,ΨΧΑΗ4690ΒΣ-ΓΤΝ,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,"«Έγκριση σκοπιμότητας για την προμήθεια «Iατροτεχνολογικού Εξοπλισμού» για την αντιμετώπιση του COVID-19, συνολικού προϋ",,,,2,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,ΨΧΑΗ4690ΒΣ-ΓΤΝ|Ω2ΒΗ4690ΒΣ-Υ1Ψ
contract:50d0335f42a5,3054589.2,2021-01-22,60ΠΕ4690ΒΣ-5ΡΞ,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,1.	Την ανάληψη δημοσιονομικής υποχρέωσης για τη δέσμευση πίστωσης (νομική δέσμευση) από τον προϋπολογισμό του τρέχοντος ,,,,3,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,60ΠΕ4690ΒΣ-5ΡΞ|Ω5444690ΒΣ-ΞΨ2|9Χ4Ω4690ΒΣ-ΡΞΠ
contract:b7edcf97e123,2254000.0,2020-07-17,93Ι64690ΒΣ-Ψ5Ι,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,"Έγκριση του Διεθνή Ηλεκτρονικού Ανοικτού Διαγωνισμού για την προμήθεια «Ιατροτεχνολογικού εξοπλισμού», συνολικού προϋπολ",,,,3,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,93Ι64690ΒΣ-Ψ5Ι|6Ζ3Π4690ΒΣ-ΗΒΔ|ΩΙΜΡ4690ΒΣ-ΡΑ5
contract:bac20bc51ab0,1500000.0,2025-03-28,Ψ98Ο4690ΒΣ-ΓΞ0,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,"Έγκριση των Τεχνικών Προδιαγραφών, των όρων της Διακήρυξης και της διενέργειας του Ηλεκτρονικού Διεθνούς Ανοικτού Διαγων",,,,2,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,Ψ98Ο4690ΒΣ-ΓΞ0|9ΣΑΙ4690ΒΣ-64Ο
contract:5f516732fa8a,850000.0,2020-04-09,ΩΗ744690ΒΣ-9Σ2,ΠΡΑΞΗ ΠΟΥ ΑΦΟΡΑ ΣΕ ΣΥΛΛΟΓΙΚΟ ΟΡΓΑΝΟ - ΕΠΙΤΡΟΠΗ - ΟΜΑΔΑ ΕΡΓΑΣΙΑΣ - ΟΜΑΔΑ ΕΡΓΟΥ - ΜΕΛΗ ΣΥΛΛΟΓΙΚΟΥ ΟΡΓΑΝΟΥ,"Ορισμό επιτροπής σύνταξης τεχνικών προδιαγραφών για τη διενέργεια του Διεθνή Ηλεκτρονικού Ανοικτού Διαγωνισμού, για την ",,,,1,ΠΡΑΞΗ ΠΟΥ ΑΦΟΡΑ ΣΕ ΣΥΛΛΟΓΙΚΟ ΟΡΓΑΝΟ - ΕΠΙΤΡΟΠΗ - ΟΜΑΔΑ ΕΡΓΑΣΙΑΣ - ΟΜΑΔΑ ΕΡΓΟΥ - ΜΕΛΗ ΣΥΛΛΟΓΙΚΟΥ ΟΡΓΑΝΟΥ,ΩΗ744690ΒΣ-9Σ2
contract:1b5e2d44b7e3,650000.0,2020-05-26,6ΔΩΞ4690ΒΣ-75Δ,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,«Έγκριση των Τεχνικών Προδιαγραφών για την προμήθεια εφαρμογών λογισμικού πληροφορικής και πληροφορικού εξοπλισμού συνολ,,,,1,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,6ΔΩΞ4690ΒΣ-75Δ
contract:64dbc06272dc,420000.0,2020-04-23,6ΥΑ74690ΒΣ-5ΛΗ,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,"Έγκριση σκοπιμότητας για την προμήθεια «Iατροτεχνολογικού Εξοπλισμού» Κλίνες πλήρως ηλεκτροκίνητες (τεμ. 120), συνολ. πρ",,,,2,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,6ΥΑ74690ΒΣ-5ΛΗ|Ω3994690ΒΣ-4Ο2
contract:af90551fb049,414756.0,2025-09-15,6Η0Ν4690ΒΣ-732,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,"Έγκριση σκοπιμότητας, των Τεχνικών Προδιαγραφών και της διενέργειας του Ηλεκτρονικού Δημόσιου Ανοικτού Διαγωνισμού, για ",,,,1,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,6Η0Ν4690ΒΣ-732
contract:e8104cb49652,300000.0,2024-04-26,63ΟΕ4690ΒΣ-ΙΙ7,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,"Έγκριση των Τεχνικών Προδιαγραφών, των όρων της Διακήρυξης και της διενέργειας του Δημόσιου Ηλεκτρονικού Ανοικτού Διαγων",,,,1,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,63ΟΕ4690ΒΣ-ΙΙ7
contract:be1a7f24264e,290000.0,2026-01-08,9Λ8Κ4690ΒΣ-ΜΦΔ,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,"Έγκριση των Τεχνικών Προδιαγραφών, των όρων της Διακήρυξης και της διενέργειας του Δημόσιου Ηλεκτρονικού Ανοικτού Διαγων",,,,1,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,9Λ8Κ4690ΒΣ-ΜΦΔ
