year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,1,531,2555024.35,4,35,496,4,527,58,473
2020,2,351,5270937.02,6,41,310,7,344,78,273
2020,3,584,2884577.93,14,60,524,14,570,116,468
2020,4,612,4873018.700000001,4,24,588,4,608,43,569
2020,5,651,4520298.66,8,36,615,9,642,77,574
2020,6,846,1263669.21,14,47,799,14,832,95,751
2020,7,586,6623485.33,10,40,546,12,574,71,515
2020,8,339,3264407.82,6,26,313,6,333,48,291
2020,9,670,6433295.29,19,68,602,28,642,90,580
2020,10,767,2573299.69,9,28,739,13,754,36,731
2020,11,812,1099480.76,26,56,756,42,770,111,701
2020,12,1546,4226879.49,33,78,1468,47,1499,194,1352
2021,1,553,2170908.58,5,15,538,6,547,50,503
2021,2,647,7258750.450000001,9,62,585,12,635,112,535
2021,3,595,3018919.9,12,47,548,14,581,90,505
2021,4,589,3967688.8,11,68,521,13,576,150,439
2021,5,498,6294328.97,11,47,451,11,487,95,403
2021,6,630,4927618.44,12,42,588,14,616,113,517
2021,7,721,5710968.45,19,58,663,26,695,109,612
2021,8,547,3678382.33,13,23,524,14,533,60,487
2021,9,778,9329960.42,6,54,724,6,772,98,680
2021,10,750,11377319.27,15,60,690,15,735,102,648
2021,11,657,5262232.88,15,54,603,17,640,130,527
2021,12,1289,2462059.37,26,84,1205,29,1260,161,1128
2022,1,554,1331286.52,8,29,525,10,544,64,490
2022,2,379,3369750.33,12,40,339,12,367,78,301
2022,3,837,8085137.84,13,50,787,16,821,102,735
2022,4,679,941748.14,10,35,644,15,664,218,461
2022,5,713,7265574.620000001,12,57,656,15,698,94,619
2022,6,803,4824257.5600000005,20,63,740,22,781,128,675
2022,7,553,2685776.27,15,44,509,17,536,86,467
2022,8,459,209900.31,11,27,432,11,448,63,396
2022,9,670,7014582.92,13,41,629,16,654,89,581
2022,10,671,1122057.13,8,30,641,11,660,87,584
2022,11,791,1595874.95,8,31,760,8,783,85,706
2022,12,1373,6444301.409999999,7,51,1322,7,1366,234,1139
2023,1,536,6859497.59,1,14,522,1,535,47,489
2023,2,468,1815727.5999999999,5,21,447,5,463,74,394
2023,3,679,14789160.329999998,7,25,654,7,672,79,600
2023,4,458,2636089.09,7,22,436,8,450,69,389
2023,5,659,3403982.57,11,27,632,12,647,76,583
2023,6,611,7383373.95,9,32,579,9,602,86,525
2023,7,696,7477692.910000001,3,36,660,5,691,101,595
2023,8,364,856437.52,8,27,337,9,355,78,286
2023,9,452,1788593.89,5,28,424,5,447,66,386
2023,10,606,708723.27,13,38,568,16,590,103,503
2023,11,664,7085579.950000001,17,49,615,17,647,106,558
2023,12,1129,14586373.65,12,44,1085,13,1116,217,912
2024,1,646,4750486.300000001,8,27,619,8,638,43,603
2024,2,646,2281339.77,7,34,612,10,636,90,556
2024,3,608,7827921.3100000005,10,38,570,10,598,101,507
2024,4,794,6397249.11,21,51,743,23,771,134,660
2024,5,616,2525617.5699999994,16,42,574,20,596,78,538
2024,6,641,3394513.67,8,31,610,11,630,70,571
2024,7,488,7769902.280000001,15,54,434,16,472,122,366
2024,8,362,907658.18,10,22,340,10,352,51,311
2024,9,589,1000935.8300000001,3,22,567,3,586,80,509
2024,10,887,3854242.0200000005,13,40,847,15,872,110,777
2024,11,720,6268472.35,11,45,675,14,706,91,629
2024,12,1215,4812966.14,12,42,1173,14,1201,209,1006
2025,1,522,180579.81,5,14,508,5,517,28,494
2025,2,421,3734736.92,13,45,376,17,404,107,314
2025,3,487,3582557.0999999996,13,39,448,15,472,74,413
2025,4,472,860579.92,12,38,434,14,458,80,392
2025,5,534,2792299.87,16,46,488,18,516,99,435
2025,6,869,6151175.36,14,49,820,16,853,101,768
2025,7,715,3220930.4499999997,23,49,666,25,690,88,627
2025,8,315,1849152.2400000002,15,29,286,16,299,41,274
2025,9,480,5504869.39,17,50,430,22,458,82,398
2025,10,496,2001716.6199999996,25,57,439,31,465,90,406
2025,11,574,3958508.92,16,38,536,18,556,70,504
2025,12,1624,1001677.6299999999,12,28,1596,13,1611,110,1514
2026,1,557,251900.73999999996,6,20,537,6,551,45,512
2026,2,625,1943435.6800000002,18,40,585,20,605,80,545
2026,3,528,688943.7600000001,12,43,485,13,515,89,439
2026,4,612,2231306.31,11,35,577,12,600,76,536
2026,5,333,2069078.85,8,15,318,8,325,34,299
